Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,RSI,BB_middle,BB_upper,BB_lower,Volume_SMA,Volume_ratio,Price_momentum_5,Price_momentum_10,Volatility,MA_crossover_signal,MACD_bullish,MACD_bearish,RSI_oversold,RSI_overbought,BB_squeeze,AI_Score,AI_Signal
2023-01-01,17952.954928153285,18431.88397858548,17699.743718344253,18000.0,681114.4682411265,,,,,,18000.0,18000.0,0.0,0.0,0.0,,,,,,,,,,0,0,0,0,0,0,,
2023-01-02,18065.930869712094,18317.55742668536,17899.854569072762,17971.66863868378,880124.9954092454,,,,,,17984.65384595371,17985.289485470425,-0.6356395167131268,-0.353133064840626,-0.2825064518725008,,,,,,,,,,0,0,1,0,0,0,,
2023-01-03,18091.317432815995,18347.633726912478,17941.93818831964,18155.25512982041,1001048.7399436366,,,,,,18051.23956644672,18046.35649125216,4.883075194557023,1.7928539267157872,3.0902212678412355,,,,,,,,,,0,1,0,0,0,0,,
2023-01-04,18448.257991486855,18644.693652569786,18252.89608318916,18579.09769158664,1009396.1187529484,,,,,,18217.86374761517,18195.287650299197,22.57609731597404,8.83324802876804,13.742849287205999,,,,,,,,,,0,0,0,0,0,0,,
2023-01-05,18378.963626852194,18837.696007802562,18355.773647668753,18523.131864075443,909986.9057041513,18245.830664833255,,,,,18300.804003836303,18271.3160756998,29.487928136502887,14.977548393991398,14.510379742511489,,,,,,,,,,0,0,0,0,0,0,,
2023-01-06,18523.296140692302,18724.678856696693,18116.742662591434,18467.339184090135,1124569.9864694998,18339.29850165128,,,,,18341.28081402126,18310.57794088616,30.702873135098343,19.23998570997363,11.462887425124713,,,,,,,0.02596328800500758,,,0,0,0,0,0,0,,
2023-01-07,18792.940333668663,19272.488162410144,18730.220619722815,18914.030734299733,786475.9141234811,18527.77092077447,,,,,18469.08795483234,18417.898891978406,51.18906285393314,27.32544481128989,23.863618042643246,,,,,,,0.05243598213176104,,,0,0,0,0,0,0,,
2023-01-08,19309.161491703784,19454.208793527407,18835.617186003878,19141.217010473392,971524.1029957413,18724.96329690507,,,,,18609.350929148153,18534.44336347992,74.90756566823256,38.76032323519426,36.14724243303831,,,,,,,0.0543072445747963,,,0,0,0,0,0,0,,
2023-01-09,18818.043177708976,19405.735752349865,18747.306995502444,19015.992952448032,1024059.1263423797,18812.34234907735,,,,,18689.79919495587,18605.8195839928,83.97961096306972,49.20620303437671,34.773407928693004,,,,,,,0.02351541867715312,,,0,0,0,0,0,0,,
2023-01-10,19342.95309560689,19384.188170533685,19070.1232777843,19180.260718400914,1102887.76681175,18943.768119942444,18594.799392387846,,,,18782.74146303358,18685.086869684845,97.65459334873594,60.06145488999127,37.593138458744676,,,,,,,0.03547612029906966,,,0,0,0,0,0,0,,
2023-01-11,19076.63006310934,19498.138517089643,18861.18926021179,19056.523766215174,1142322.975617778,19061.605036367448,18700.451769009367,,,,18832.83702315822,18733.262352836206,99.57467032201384,68.7067206505307,30.867949671483146,,,,,,,0.03190414039899303,0.05869576478973193,,0,0,0,0,0,0,,
2023-01-12,18923.768866265607,19159.664801427603,18860.549845045098,18932.924176335106,775071.5816324261,19065.383724774525,18796.5773227745,,,,18850.632190421,18757.793953806904,92.8382366140977,73.88915824280194,18.949078371295755,,,,,,,0.0009989114589472603,0.053487272494120885,,0,0,0,0,0,0,,
2023-01-13,18959.30886474109,19595.74755629723,18856.92404040784,19011.106438539675,693177.1658528756,19039.36161038778,18882.162453646426,,,,18878.496616228127,18787.469465702474,91.02715052565327,77.51615283581727,13.510997689836003,,,,,,,-0.006797403313620332,0.047140693016949786,,0,0,0,0,0,0,,
2023-01-14,18511.878591369044,18553.282434487523,18356.674436024954,18475.008376089776,1255535.364379702,18931.16469511613,18871.753522096737,,,,18809.795451589056,18752.376366812492,57.41908477656398,73.31183120308253,-15.892746426518556,59.23240761566359,,,,,,-0.02844892600197413,-0.00560249573067273,,0,0,1,0,0,0,,
2023-01-15,18002.839514094678,18498.87168439743,17828.029647442654,18006.227809221647,1066462.8023959184,18696.358113280272,18820.063116611356,,,,18675.18411489455,18671.661370110636,3.5227447839133674,58.845007822482245,-55.32226303856888,50.10238775981683,,,,,,-0.06121047708454441,-0.027905867034089482,,0,0,0,0,0,0,,
2023-01-16,17961.904160683753,18077.347887807384,17450.389116506245,17863.360762939297,850302.6926886893,18457.725512625104,18759.665274496274,,,,18541.02390511816,18587.106486569526,-46.08258145136642,37.251692165548384,-83.3342736169148,48.28399880661818,,,,,,-0.06261178680401325,-0.03270522164184719,,0,0,0,0,0,0,,
2023-01-17,17610.956477253832,17667.624117693264,17237.425256063867,17600.90392790378,1310230.3951045047,18191.321462938835,18628.35259385668,,,,18387.4146143169,18486.998314487028,-99.5837001701293,9.254165443857332,-108.83786561398664,41.43115950453859,,,,,,-0.07035470252906117,-0.06942606918866101,,0,0,0,0,0,0,,
2023-01-18,17705.96613380899,17783.9843124033,17461.740837655394,17692.669936526872,1023134.9268585717,17927.634162536273,18483.497886462028,,,,18274.971508607083,18408.520071186067,-133.54856257898427,-19.83031966592164,-113.71824291306264,34.730534224325154,,,,,,-0.06935085584182743,-0.07567685341814612,,0,0,0,0,0,0,,
2023-01-19,17428.791397462388,17579.206718563946,17179.506264619446,17460.535717555886,1235859.4368127652,17724.739630829496,18327.952162972815,,,,18144.203025979677,18317.120662265064,-172.91763628538683,-50.89547911954116,-122.02215716584567,32.743248789059976,,,,,,-0.054910538489758576,-0.0817973186455091,,0,0,0,0,0,0,,
2023-01-20,17094.503624993158,17342.895734400376,16896.407654939463,17099.372297096645,1013503.6962820218,17543.3685284045,18119.863320842385,18357.331356615116,,,17977.560932351837,18202.277735613967,-224.71680326213027,-86.06522349406814,-138.65157976806213,29.78864674786513,18357.331356615116,19611.449205191628,17103.213508038603,992839.4581209605,1.0208132724702241,-0.050363436569461184,-0.10849114367397172,627.0589242882554,-1,0,0,1,0,1,-0.3677998880223149,Bearish
2023-01-21,17510.75488790445,17750.097320793637,17318.913207914902,17483.847092593758,1412149.5849763975,17467.46579433539,17962.595653480243,18331.523711244805,,,17899.25962125239,18135.867969139024,-236.60834788663487,-116.45413662417613,-120.15421126245874,28.47365449658041,18331.523711244805,19636.802335741075,17026.245086748535,1029391.2139577242,1.371829840617226,-0.02124536784438158,-0.08252694420634965,652.6393122481358,-1,0,0,1,0,0,-0.24539496265782085,Neutral
